
 CAVINT_PHOTONS_BSFW0   W/AIR
 BSF(water) in WATER mono-energetic photons                                                                             
  SSD     ENERGY(KEV)   ---------------------------------------- DIAMETER (CM) ----------------------------------------
                               1.0          2.0          3.0          5.0         10.0         15.0         20.0         30.0
  10.0   4.00000000E+00 1.000834E+00 1.000826E+00 1.000832E+00 1.000828E+00 1.000847E+00 1.000849E+00 1.000832E+00 1.000842E+00
  10.0   4.36203100E+00 1.000784E+00 1.000797E+00 1.000809E+00 1.000796E+00 1.000779E+00 1.000849E+00 1.000862E+00 1.000861E+00
  10.0   4.75682800E+00 1.001400E+00 1.001425E+00 1.001403E+00 1.001425E+00 1.001416E+00 1.001493E+00 1.001484E+00 1.001374E+00
  10.0   5.18735800E+00 1.001267E+00 1.001281E+00 1.001253E+00 1.001292E+00 1.001267E+00 1.001296E+00 1.001284E+00 1.001285E+00
  10.0   5.65685400E+00 1.002262E+00 1.002255E+00 1.002258E+00 1.002268E+00 1.002311E+00 1.002327E+00 1.002342E+00 1.002394E+00
  10.0   6.16884300E+00 1.003240E+00 1.003230E+00 1.003230E+00 1.003162E+00 1.003157E+00 1.003203E+00 1.003090E+00 1.003166E+00
  10.0   6.72717100E+00 1.003669E+00 1.003703E+00 1.003662E+00 1.003618E+00 1.003608E+00 1.003736E+00 1.003666E+00 1.003618E+00
  10.0   7.33603200E+00 1.005330E+00 1.005407E+00 1.005312E+00 1.005377E+00 1.005381E+00 1.005491E+00 1.005611E+00 1.005389E+00
  10.0   8.00000000E+00 1.006057E+00 1.006164E+00 1.006060E+00 1.006164E+00 1.006133E+00 1.006268E+00 1.006410E+00 1.006199E+00
  10.0   8.72406200E+00 1.008606E+00 1.008837E+00 1.008775E+00 1.008772E+00 1.008913E+00 1.008788E+00 1.008736E+00 1.008992E+00
  10.0   9.51365700E+00 1.010077E+00 1.010504E+00 1.010586E+00 1.010354E+00 1.010521E+00 1.010699E+00 1.010725E+00 1.010445E+00
  10.0   1.03747160E+01 1.013634E+00 1.014593E+00 1.014728E+00 1.014702E+00 1.014732E+00 1.014851E+00 1.014492E+00 1.014380E+00
  10.0   1.13137080E+01 1.017566E+00 1.019320E+00 1.019530E+00 1.019544E+00 1.019798E+00 1.020265E+00 1.020231E+00 1.019902E+00
  10.0   1.23376870E+01 1.021022E+00 1.024013E+00 1.024440E+00 1.024610E+00 1.025195E+00 1.025363E+00 1.025617E+00 1.025844E+00
  10.0   1.34543430E+01 1.026140E+00 1.031066E+00 1.032097E+00 1.032811E+00 1.032761E+00 1.032593E+00 1.032672E+00 1.032272E+00
  10.0   1.46720650E+01 1.030649E+00 1.037865E+00 1.040219E+00 1.041310E+00 1.040683E+00 1.040278E+00 1.039871E+00 1.039748E+00
  10.0   1.60000000E+01 1.036715E+00 1.047279E+00 1.051241E+00 1.053858E+00 1.053337E+00 1.054138E+00 1.053516E+00 1.052919E+00
  10.0   1.74481240E+01 1.041769E+00 1.056085E+00 1.062579E+00 1.066859E+00 1.066914E+00 1.067625E+00 1.067823E+00 1.067842E+00
  10.0   1.90273140E+01 1.048274E+00 1.067262E+00 1.077503E+00 1.084655E+00 1.086235E+00 1.086404E+00 1.087228E+00 1.086873E+00
  10.0   2.07494330E+01 1.054702E+00 1.079189E+00 1.093793E+00 1.105217E+00 1.111535E+00 1.111602E+00 1.111633E+00 1.111434E+00
  10.0   2.26274170E+01 1.059282E+00 1.088533E+00 1.107885E+00 1.125418E+00 1.134787E+00 1.135678E+00 1.135170E+00 1.132799E+00
  10.0   2.46753730E+01 1.065101E+00 1.100201E+00 1.124964E+00 1.149821E+00 1.164690E+00 1.167831E+00 1.168310E+00 1.169250E+00
  10.0   2.69086850E+01 1.068525E+00 1.108270E+00 1.138228E+00 1.170905E+00 1.194510E+00 1.197716E+00 1.196902E+00 1.201938E+00
  10.0   2.93441290E+01 1.073514E+00 1.118930E+00 1.154517E+00 1.196724E+00 1.231040E+00 1.238248E+00 1.241392E+00 1.240554E+00
  10.0   3.20000000E+01 1.075489E+00 1.124349E+00 1.164354E+00 1.215504E+00 1.262244E+00 1.275239E+00 1.281123E+00 1.278096E+00
  10.0   3.48962470E+01 1.079143E+00 1.132282E+00 1.177773E+00 1.237830E+00 1.299386E+00 1.316704E+00 1.321271E+00 1.321452E+00
  10.0   3.80546280E+01 1.080780E+00 1.137092E+00 1.186554E+00 1.254482E+00 1.329325E+00 1.353847E+00 1.359928E+00 1.365382E+00
  10.0   4.14988660E+01 1.079930E+00 1.137295E+00 1.189064E+00 1.261931E+00 1.352036E+00 1.379126E+00 1.387351E+00 1.391049E+00
  10.0   4.52548340E+01 1.079303E+00 1.137455E+00 1.190771E+00 1.269206E+00 1.368265E+00 1.402811E+00 1.417097E+00 1.419698E+00
  10.0   4.93507460E+01 1.078795E+00 1.137232E+00 1.192274E+00 1.275644E+00 1.387058E+00 1.423894E+00 1.437756E+00 1.443284E+00
  10.0   5.38173710E+01 1.075777E+00 1.133020E+00 1.188386E+00 1.271470E+00 1.387035E+00 1.430249E+00 1.449223E+00 1.459781E+00
  10.0   5.86882590E+01 1.072042E+00 1.127302E+00 1.180776E+00 1.262959E+00 1.382773E+00 1.429944E+00 1.449955E+00 1.460295E+00
  10.0   6.40000000E+01 1.067678E+00 1.120034E+00 1.170941E+00 1.251196E+00 1.369894E+00 1.420699E+00 1.440707E+00 1.446796E+00
  10.0   6.97924950E+01 1.063419E+00 1.112670E+00 1.160767E+00 1.237198E+00 1.353922E+00 1.405048E+00 1.425074E+00 1.435597E+00
